TERMS AND CONDITIONS,,
https://www.bankofcanada.ca/terms/,,
,,
NAME,,
Chart 3: The share of CPI components growing above 3% has risen,,
,,
DESCRIPTION,,
Deviation from historical average,,
,,
Sources: Statistics Canada and Bank of Canada calculations,,
,,
LINK,,
https://www.bankofcanada.ca/?p=248443,,
,,
SERIES,,
id,label,description
SPEECH_MEND20251002_C3_S1,Share above 3%,
SPEECH_MEND20251002_C3_S2,Share below 1%,
,,
OBSERVATIONS,,
date,SPEECH_MEND20251002_C3_S1,SPEECH_MEND20251002_C3_S2
2019-01-31,-0.3,-0.6
2019-02-28,-2.2,-4.4
2019-03-31,-1.6,-4.4
2019-04-30,-1.6,3.1
2019-05-31,2.8,-8.1
2019-06-30,1.6,-1.2
2019-07-31,1.6,-3.1
2019-08-31,2.8,-4.4
2019-09-30,4.7,-5.6
2019-10-31,8.4,-6.2
2019-11-30,3.4,-4.4
2019-12-31,-0.1,-3
2020-01-31,-0.1,-3.6
2020-02-29,-3.2,-1.7
2020-03-31,-3.2,-1.7
2020-04-30,-0.7,-1.1
2020-05-31,1.8,-1.1
2020-06-30,-1.9,-1.7
2020-07-31,-4.4,2.6
2020-08-31,-8.7,3.2
2020-09-30,-8.7,5
2020-10-31,-3.2,0.7
2020-11-30,-4.4,2
2020-12-31,-2.5,4.4
2021-01-31,-6.9,8.8
2021-02-28,-2.5,3.8
2021-03-31,1.8,-0.5
2021-04-30,1.2,-1.1
2021-05-31,7.3,-3.6
2021-06-30,11,-5.4
2021-07-31,12.9,-5.4
2021-08-31,18.4,-5.4
2021-09-30,16.6,-10.4
2021-10-31,17.8,-12.2
2021-11-30,20.9,-14.7
2021-12-31,25.9,-16.6
2022-01-31,31.4,-22.7
2022-02-28,33.9,-24.6
2022-03-31,35.1,-24.6
2022-04-30,37.6,-23.3
2022-05-31,42.5,-25.2
2022-06-30,43.1,-26.4
2022-07-31,44.4,-29.5
2022-08-31,46.8,-30.8
2022-09-30,47.5,-30.8
2022-10-31,46.8,-28.3
2022-11-30,46.8,-27.1
2022-12-31,43.1,-27.7
2023-01-31,45.6,-25.8
2023-02-28,43.8,-24.6
2023-03-31,42.5,-21.5
2023-04-30,39.4,-19.6
2023-05-31,36.8,-18.9
2023-06-30,36.8,-18.3
2023-07-31,31.8,-17.6
2023-08-31,34.9,-17.6
2023-09-30,28.1,-15.2
2023-10-31,25,-13.3
2023-11-30,18.7,-9
2023-12-31,21.9,-13.3
2024-01-31,14.4,-8.3
2024-02-29,10.7,-3.4
2024-03-31,7.6,1
2024-04-30,4.5,1
2024-05-31,6.3,2.8
2024-06-30,2,5.3
2024-07-31,-2.4,7.2
2024-08-31,-3,6
2024-09-30,-3,6.6
2024-10-31,-2.4,3.5
2024-11-30,-6.1,6.6
2024-12-31,-7.3,10.9
2025-01-31,0.7,9.7
2025-02-28,5.7,1.6
2025-03-31,11.3,-2.7
2025-04-30,9.4,1
2025-05-31,6.9,-3.4
2025-06-30,8.2,-4.6
2025-07-31,6.3,-0.9
2025-08-31,8.2,-2.7
