date,cad_2y,overnight,spread_pp,abs_spread_bp
2001-01-01,5.11,5.5,-0.3899999999999997,38.99999999999997
2001-02-01,4.87,5.5,-0.6299999999999999,62.999999999999986
2001-03-01,4.83,5.0,-0.16999999999999993,16.999999999999993
2001-04-01,4.87,4.75,0.1200000000000001,12.00000000000001
2001-05-01,4.83,4.5,0.33000000000000007,33.00000000000001
2001-06-01,4.9,4.5,0.40000000000000036,40.000000000000036
2001-07-01,5.04,4.25,0.79,79.0
2001-08-01,4.66,4.0,0.6600000000000001,66.00000000000001
2001-09-01,4.25,3.5,0.75,75.0
2001-10-01,3.62,2.75,0.8700000000000001,87.00000000000001
2001-11-01,2.97,2.25,0.7200000000000002,72.00000000000001
2001-12-01,3.08,2.25,0.8300000000000001,83.0
2002-01-01,3.25,2.0,1.25,125.0
2002-02-01,3.27,2.0,1.27,127.0
2002-03-01,3.42,2.0,1.42,142.0
2002-04-01,4.5,2.25,2.25,225.0
2002-05-01,4.14,2.25,1.8899999999999997,188.99999999999997
2002-06-01,4.12,2.5,1.62,162.0
2002-07-01,3.82,2.75,1.0699999999999998,106.99999999999999
2002-08-01,3.13,2.75,0.3799999999999999,37.999999999999986
2002-09-01,3.29,2.75,0.54,54.0
2002-10-01,3.41,2.75,0.6600000000000001,66.00000000000001
2002-11-01,3.26,2.75,0.5099999999999998,50.99999999999998
2002-12-01,3.45,2.75,0.7000000000000002,70.00000000000001
2003-01-01,3.22,2.75,0.4700000000000002,47.00000000000002
2003-02-01,3.57,2.75,0.8199999999999998,81.99999999999999
2003-03-01,3.45,3.0,0.4500000000000002,45.000000000000014
2003-04-01,3.76,3.25,0.5099999999999998,50.99999999999998
2003-05-01,3.65,3.25,0.3999999999999999,39.99999999999999
2003-06-01,3.21,3.25,-0.040000000000000036,4.0000000000000036
2003-07-01,3.02,3.0,0.020000000000000018,2.0000000000000018
2003-08-01,2.98,3.0,-0.020000000000000018,2.0000000000000018
2003-09-01,3.13,2.75,0.3799999999999999,37.999999999999986
2003-10-01,2.93,2.75,0.18000000000000016,18.000000000000014
2003-11-01,3.21,2.75,0.45999999999999996,46.0
2003-12-01,3.2,2.75,0.4500000000000002,45.000000000000014
2004-01-01,3.01,2.5,0.5099999999999998,50.99999999999998
2004-02-01,2.61,2.5,0.10999999999999988,10.999999999999988
2004-03-01,2.36,2.25,0.10999999999999988,10.999999999999988
