date,gdp_qq_ar,abs_dev_from_2pct,inventory_contrib,abs_inventory_contrib
1961-04-01,7.639,5.639,1.446,1.446
1961-07-01,12.133,10.133,-7.135,7.135
1961-10-01,0.69,1.31,9.153,9.153
1962-01-01,7.956,5.956,1.507,1.507
1962-04-01,3.541,1.541,-3.429,3.429
1962-07-01,0.975,1.025,6.956,6.956
1962-10-01,4.889,2.8890000000000002,-2.521,2.521
1963-01-01,2.283,0.2829999999999999,0.477,0.477
1963-04-01,6.352,4.352,-1.778,1.778
1963-07-01,4.231,2.231,1.444,1.444
1963-10-01,8.727,6.727,0.943,0.943
1964-01-01,12.234,10.234,1.773,1.773
1964-04-01,0.676,1.3239999999999998,-4.151,4.151
1964-07-01,5.707,3.707,-0.455,0.455
1964-10-01,9.451,7.4510000000000005,-4.151,4.151
1965-01-01,3.466,1.4660000000000002,14.871,14.871
1965-04-01,7.119,5.119,-3.504,3.504
1965-07-01,9.779,7.779,-4.946,4.946
1965-10-01,9.661,7.661,1.079,1.079
1966-01-01,6.277,4.277,2.014,2.014
1966-04-01,6.333,4.333,5.069,5.069
1966-07-01,4.909,2.909,-6.311,6.311
1966-10-01,3.494,1.4940000000000002,-0.033,0.033
1967-01-01,2.263,0.2629999999999999,-4.154,4.154
1967-04-01,7.07,5.07,-1.411,1.411
1967-07-01,-1.285,3.285,2.729,2.729
1967-10-01,3.877,1.8769999999999998,-2.915,2.915
1968-01-01,4.967,2.9669999999999996,0.219,0.219
1968-04-01,2.612,0.6120000000000001,2.973,2.973
1968-07-01,6.537,4.537,1.323,1.323
1968-10-01,6.654,4.654,0.947,0.947
1969-01-01,6.051,4.051,0.67,0.67
1969-04-01,1.987,0.0129999999999999,0.382,0.382
1969-07-01,3.157,1.157,0.83,0.83
1969-10-01,4.722,2.7220000000000004,0.825,0.825
1970-01-01,1.014,0.986,-5.01,5.01
1970-04-01,1.58,0.41999999999999993,0.368,0.368
1970-07-01,4.552,2.5519999999999996,1.129,1.129
1970-10-01,5.277,3.277,-8.363,8.363
1971-01-01,-2.191,4.191,-0.949,0.949
1971-04-01,14.954,12.954,0.995,0.995
1971-07-01,8.884,6.884,3.552,3.552
1971-10-01,7.624,5.624,1.155,1.155
1972-01-01,-0.434,2.434,-3.805,3.805
1972-04-01,8.214,6.214,2.813,2.813
1972-07-01,2.979,0.9790000000000001,1.655,1.655
1972-10-01,5.78,3.7800000000000002,-1.185,1.185
1973-01-01,10.521,8.521,0.769,0.769
1973-04-01,4.386,2.386,-0.605,0.605
