date,value
2016-04-01,127.9
2016-05-01,128.3
2016-06-01,128.6
2016-07-01,128.5
2016-08-01,128.6
2016-09-01,128.8
2016-10-01,129.1
2016-11-01,128.9
2016-12-01,129.3
2017-01-01,130.1
2017-02-01,129.9
2017-03-01,129.7
2017-04-01,130.1
2017-05-01,129.9
2017-06-01,129.9
2017-07-01,130.1
2017-08-01,130.4
2017-09-01,130.7
2017-10-01,130.9
2017-11-01,131.7
2017-12-01,131.8
2018-01-01,132.3
2018-02-01,132.6
2018-03-01,132.7
2018-04-01,132.8
2018-05-01,132.9
2018-06-01,133.1
2018-07-01,133.7
2018-08-01,133.9
2018-09-01,133.8
2018-10-01,134.2
2018-11-01,134.0
2018-12-01,134.3
2019-01-01,134.3
2019-02-01,134.7
2019-03-01,135.2
2019-04-01,135.6
2019-05-01,136.0
2019-06-01,135.9
2019-07-01,136.4
2019-08-01,136.4
2019-09-01,136.3
2019-10-01,136.7
2019-11-01,136.8
2019-12-01,137.3
2020-01-01,137.5
2020-02-01,137.7
2020-03-01,136.3
2020-04-01,135.6
2020-05-01,135.4
2020-06-01,136.5
2020-07-01,136.5
2020-08-01,136.8
2020-09-01,137.1
2020-10-01,137.5
2020-11-01,138.0
2020-12-01,138.5
2021-01-01,139.1
2021-02-01,139.4
2021-03-01,139.5
2021-04-01,139.9
2021-05-01,140.3
2021-06-01,140.7
2021-07-01,141.4
2021-08-01,142.3
2021-09-01,143.1
2021-10-01,143.9
2021-11-01,144.5
2021-12-01,145.2
2022-01-01,146.3
2022-02-01,147.3
2022-03-01,148.9
2022-04-01,149.4
2022-05-01,151.1
2022-06-01,152.2
2022-07-01,152.2
2022-08-01,152.1
2022-09-01,152.8
2022-10-01,153.7
2022-11-01,154.3
2022-12-01,154.2
2023-01-01,154.9
2023-02-01,155.1
2023-03-01,155.3
2023-04-01,156.1
2023-05-01,156.2
2023-06-01,156.6
2023-07-01,157.2
2023-08-01,158.3
2023-09-01,158.6
2023-10-01,158.5
2023-11-01,159.0
2023-12-01,159.4
2024-01-01,159.4
2024-02-01,159.4
2024-03-01,159.8
2024-04-01,160.3
2024-05-01,160.7
2024-06-01,160.8
2024-07-01,161.2
2024-08-01,161.3
2024-09-01,161.2
2024-10-01,161.7
2024-11-01,162.0
2024-12-01,162.3
2025-01-01,162.5
2025-02-01,163.5
2025-03-01,163.5
2025-04-01,163.1
2025-05-01,163.5
2025-06-01,163.9
2025-07-01,164.0
2025-08-01,164.3
2025-09-01,165.0
2025-10-01,165.2
2025-11-01,165.6
2025-12-01,166.1
2026-01-01,166.2
2026-02-01,166.5
2026-03-01,167.3
