date,Meat,"Fish, seafood and other marine products",Dairy products and eggs,Bakery and cereal products (excluding baby food),"Fruit, fruit preparations and nuts",Vegetables and vegetable preparations,Other food products and non-alcoholic beverages,Food purchased from table-service restaurants,Food purchased from fast food and take-out restaurants,Food purchased from cafeterias and other restaurants,Rent,Tenants' insurance premiums,"Tenants' maintenance, repairs and other expenses",Mortgage interest cost,Homeowners' replacement cost,Property taxes and other special charges,Homeowners' home and mortgage insurance,Homeowners' maintenance and repairs,Other owned accommodation expenses,Electricity,Water,Natural gas,Fuel oil and other fuels,Communications,Child care and housekeeping services,Household cleaning products,"Paper, plastic and aluminum foil supplies",Other household goods and services,Furniture and household textiles,Household equipment,Services related to household furnishings and equipment,Women's clothing,Men's clothing,Children's clothing,Women's footwear (excluding athletic),Men's footwear (excluding athletic),Children's footwear (excluding athletic),Athletic footwear,Clothing accessories (2013=100),Watches,Jewellery,"Purchase, leasing and rental of passenger vehicles",Operation of passenger vehicles,Local and commuter transportation,Inter-city transportation,Health care goods,Health care services,Personal care supplies and equipment,Personal care services,Recreational equipment and services (excluding recreational vehicles),Purchase and operation of recreational vehicles,"Home entertainment equipment, parts and services",Travel services,Other cultural and recreational services,Education,Reading material (excluding textbooks),Alcoholic beverages served in licensed establishments,Alcoholic beverages purchased from stores,Cigarettes,Other tobacco products and smokers' supplies
2009-08-01,119.1,110.6,128.1,137.6,113.2,106.2,122.0,122.6,119.3,121.6,109.7,107.2,110.7,117.2,134.6,124.1,164.2,117.5,132.6,117.1,157.4,108.0,150.3,104.8,125.4,109.3,110.4,119.8,97.8,89.0,146.3,84.1,90.7,81.8,93.1,95.8,101.4,89.4,102.7,129.3,86.0,140.1,129.3,123.2,102.2,118.4,64.9,115.5,78.9,100.3,129.0,125.9,111.8,120.8,111.6,146.4,148.4,107.5,128.7,
2009-09-01,118.6,109.4,128.9,136.9,109.4,97.7,120.8,122.7,119.8,121.8,109.8,107.3,112.6,116.4,134.8,124.1,164.9,117.8,132.8,115.8,157.4,106.0,160.8,106.1,126.2,108.6,111.4,121.0,99.5,88.7,146.3,89.6,92.6,83.4,94.7,95.7,101.5,92.5,102.7,129.3,84.1,139.5,129.3,121.6,103.8,118.4,64.9,115.1,77.3,98.0,130.3,130.9,113.8,120.7,111.4,146.5,148.5,108.2,131.0,
2009-10-01,117.0,109.7,128.3,138.5,110.0,95.7,120.3,122.7,120.3,122.0,110.0,107.6,114.1,115.7,135.5,129.4,161.0,117.9,133.2,114.3,157.4,103.6,159.3,106.1,128.0,108.0,112.6,121.3,99.1,87.7,146.3,88.4,92.0,85.2,98.7,96.5,105.8,93.1,102.7,129.3,84.8,138.6,129.3,119.7,101.4,118.4,65.1,114.7,76.7,95.5,130.9,131.1,114.8,120.7,111.7,146.4,148.5,107.8,131.0,
2009-11-01,118.1,109.2,129.3,137.4,112.5,107.3,121.0,122.8,120.9,122.2,110.1,106.8,114.1,115.1,136.1,129.4,156.3,117.3,133.5,115.5,157.4,106.6,175.1,108.1,128.0,108.0,112.9,121.5,99.0,88.4,146.3,87.5,92.0,83.5,97.5,97.6,104.7,95.6,105.3,134.9,89.0,140.5,129.3,107.9,103.6,118.2,64.6,114.6,76.7,91.9,130.9,131.1,114.8,120.9,111.4,146.2,148.2,108.2,131.1,
2009-12-01,116.9,109.5,129.3,139.0,111.9,112.2,120.4,123.2,120.9,122.5,110.2,107.1,114.1,114.5,136.7,129.4,157.3,117.4,133.8,116.1,157.4,104.9,173.7,108.1,128.0,108.9,113.4,120.8,94.9,87.2,146.3,81.7,87.2,79.1,90.8,94.8,102.3,93.7,105.3,134.9,90.7,138.8,129.3,109.7,102.7,118.2,63.8,114.0,73.0,90.5,131.1,131.1,115.3,120.9,111.1,146.3,148.3,107.5,131.1,
2010-01-01,116.8,109.5,129.6,138.4,112.3,110.9,123.4,123.3,121.4,122.7,110.3,104.3,114.6,114.0,137.3,129.4,158.0,117.8,134.1,115.4,164.6,112.5,181.6,109.4,128.0,108.2,113.3,121.6,94.7,87.2,146.3,80.9,87.6,78.5,89.1,94.6,97.6,92.0,105.3,134.9,91.6,141.0,134.0,111.2,104.8,118.2,62.5,113.2,73.0,83.1,131.2,131.3,115.4,121.0,110.8,146.4,148.5,107.6,131.1,
2010-02-01,117.7,108.7,131.0,139.5,110.5,110.4,124.0,123.7,121.4,123.0,110.3,104.1,114.6,113.6,137.9,129.4,159.5,117.8,134.4,115.1,164.6,112.3,176.0,109.3,129.2,107.6,113.7,122.2,95.5,87.6,146.3,81.2,89.5,80.1,90.9,96.2,99.9,91.8,104.6,134.1,91.9,140.3,134.1,106.2,104.9,119.0,62.7,113.1,73.5,98.0,131.2,131.3,115.4,121.6,110.8,146.9,149.1,106.6,131.1,
2010-03-01,117.4,108.4,130.3,138.9,112.2,113.2,125.2,123.8,121.4,123.1,110.4,104.9,114.6,113.2,138.6,129.4,161.3,117.8,134.9,114.4,164.6,110.4,178.2,109.3,129.2,106.6,114.0,122.4,95.4,87.5,148.6,86.4,91.7,81.1,90.6,95.4,99.5,94.4,104.6,134.1,90.5,142.4,134.5,107.7,104.3,119.0,62.6,113.3,73.6,89.8,131.2,131.2,115.5,121.7,111.0,146.8,148.9,106.3,131.2,
2010-04-01,117.7,108.6,129.9,137.6,109.3,116.6,123.9,123.9,121.5,123.2,110.5,104.9,114.9,112.8,139.8,129.4,162.1,117.9,136.6,115.3,166.1,117.5,180.5,109.3,130.3,106.4,113.2,122.1,96.2,87.7,148.6,86.2,92.3,81.2,98.4,96.8,99.5,92.6,104.6,134.1,90.7,142.5,134.8,110.8,105.3,119.0,62.7,114.7,73.7,90.4,131.7,131.2,115.9,121.7,111.1,147.5,150.1,106.9,135.2,
2010-05-01,118.7,108.7,130.0,137.6,111.4,115.2,123.4,123.9,121.4,123.1,110.6,104.9,113.5,112.8,140.9,129.4,163.3,117.9,136.9,120.2,166.6,118.5,180.0,109.7,130.5,106.2,113.1,121.8,96.9,87.2,148.6,82.5,91.4,81.1,97.4,95.8,98.4,91.6,105.1,139.8,90.9,143.4,134.8,113.0,103.9,119.9,62.9,115.2,73.7,92.6,132.6,131.2,115.9,122.4,111.6,147.4,150.3,106.9,135.2,
2010-06-01,119.0,109.1,130.1,138.5,112.3,113.8,122.9,124.2,121.4,123.3,110.7,105.3,113.5,112.8,141.8,129.4,163.1,117.9,137.5,121.3,166.6,118.7,180.0,109.7,130.5,106.2,112.5,122.3,96.3,87.4,148.6,78.7,87.1,75.4,95.2,95.3,95.6,91.9,105.1,139.8,90.1,141.8,134.8,117.5,104.7,119.9,62.8,114.4,74.0,96.4,132.6,131.2,115.1,122.4,111.5,147.7,150.7,106.6,135.2,
2010-07-01,120.0,109.5,130.0,139.0,113.9,111.0,124.5,125.7,122.4,124.7,110.8,106.0,113.5,112.9,142.0,129.4,163.5,119.2,143.6,126.2,166.6,118.1,184.2,110.6,131.7,106.6,112.9,123.9,96.0,87.5,149.2,77.3,87.7,73.7,88.6,92.4,91.1,92.0,105.1,139.9,87.9,144.1,136.3,117.6,103.3,124.8,62.0,114.6,74.1,97.9,136.6,131.2,116.2,123.1,111.4,153.2,156.2,107.7,135.3,
2010-08-01,119.8,110.6,130.5,139.4,113.2,107.6,124.3,125.7,122.4,124.7,111.0,106.0,113.5,112.7,142.0,129.4,158.9,118.8,143.4,126.1,166.6,114.8,184.2,109.9,131.7,105.9,113.1,124.1,95.9,87.5,149.2,78.1,90.0,73.7,88.9,93.4,91.7,93.0,107.0,144.6,87.8,144.0,136.3,115.6,105.6,125.2,61.9,114.5,74.1,97.5,136.6,131.2,116.2,123.0,111.3,153.2,156.1,107.7,135.3,
2010-09-01,120.5,109.1,130.6,138.4,111.1,100.9,125.3,125.8,121.0,124.4,111.1,105.9,109.7,112.6,142.3,129.4,160.2,117.5,143.7,124.7,166.6,117.8,178.5,109.9,134.3,106.6,112.9,123.8,97.3,87.1,149.2,85.8,89.7,75.9,89.4,93.6,92.9,90.8,107.0,144.6,88.2,143.2,136.3,116.8,104.2,125.2,61.7,114.5,72.7,96.9,137.4,135.3,115.6,123.0,111.2,153.2,156.2,107.6,136.0,
2010-10-01,120.0,107.5,129.8,139.5,111.1,99.5,124.6,126.1,121.5,124.7,111.3,106.2,115.7,112.2,142.2,133.9,164.6,119.7,143.8,123.6,166.8,114.6,185.8,109.9,134.4,105.7,114.2,124.0,96.4,87.2,149.2,86.5,92.7,80.1,96.6,95.2,94.3,92.8,107.0,144.6,88.8,146.2,136.3,115.6,104.5,125.2,62.2,114.4,72.7,93.3,138.1,135.8,116.5,123.0,111.4,153.3,156.1,106.9,136.0,
