date,value
1997-01-01,1200427.0
1997-02-01,1207984.0
1997-03-01,1207836.0
1997-04-01,1216027.0
1997-05-01,1220355.0
1997-06-01,1222650.0
1997-07-01,1235807.0
1997-08-01,1237361.0
1997-09-01,1239488.0
1997-10-01,1244300.0
1997-11-01,1245279.0
1997-12-01,1256596.0
1998-01-01,1251276.0
1998-02-01,1263285.0
1998-03-01,1267784.0
1998-04-01,1268479.0
1998-05-01,1266172.0
1998-06-01,1265876.0
1998-07-01,1265509.0
1998-08-01,1277712.0
1998-09-01,1281876.0
1998-10-01,1287736.0
1998-11-01,1291195.0
1998-12-01,1303212.0
1999-01-01,1307658.0
1999-02-01,1313944.0
1999-03-01,1314242.0
1999-04-01,1323164.0
1999-05-01,1325374.0
1999-06-01,1334509.0
1999-07-01,1341912.0
1999-08-01,1348795.0
1999-09-01,1357768.0
1999-10-01,1361723.0
1999-11-01,1373037.0
1999-12-01,1382070.0
2000-01-01,1389075.0
2000-02-01,1389135.0
2000-03-01,1400565.0
2000-04-01,1398972.0
2000-05-01,1406793.0
2000-06-01,1411961.0
2000-07-01,1415071.0
2000-08-01,1420264.0
2000-09-01,1422834.0
2000-10-01,1425565.0
2000-11-01,1426613.0
2000-12-01,1430277.0
2001-01-01,1430465.0
2001-02-01,1430086.0
2001-03-01,1430984.0
2001-04-01,1429758.0
2001-05-01,1435864.0
2001-06-01,1434670.0
2001-07-01,1432538.0
2001-08-01,1437285.0
2001-09-01,1429507.0
2001-10-01,1435965.0
2001-11-01,1445138.0
2001-12-01,1443458.0
2002-01-01,1458948.0
2002-02-01,1466791.0
2002-03-01,1465211.0
2002-04-01,1475574.0
2002-05-01,1477787.0
2002-06-01,1479462.0
2002-07-01,1485217.0
2002-08-01,1490765.0
2002-09-01,1487347.0
2002-10-01,1496308.0
2002-11-01,1495605.0
2002-12-01,1491093.0
2003-01-01,1498814.0
2003-02-01,1502703.0
2003-03-01,1501137.0
2003-04-01,1496182.0
2003-05-01,1500560.0
2003-06-01,1504985.0
2003-07-01,1512785.0
2003-08-01,1498298.0
2003-09-01,1516781.0
2003-10-01,1523419.0
2003-11-01,1525034.0
2003-12-01,1531448.0
2004-01-01,1534133.0
2004-02-01,1533153.0
2004-03-01,1546782.0
2004-04-01,1550713.0
2004-05-01,1552199.0
2004-06-01,1559745.0
2004-07-01,1561166.0
2004-08-01,1567772.0
2004-09-01,1572150.0
2004-10-01,1572634.0
2004-11-01,1578521.0
2004-12-01,1578808.0
