date,value
2015-01-01,2.9
2015-04-01,2.7
2015-07-01,2.5
2015-10-01,2.4
2016-01-01,2.4
2016-04-01,2.3
2016-07-01,2.5
2016-10-01,2.5
2017-01-01,2.7
2017-04-01,2.7
2017-07-01,2.8
2017-10-01,3.0
2018-01-01,3.1
2018-04-01,3.2
2018-07-01,3.2
2018-10-01,3.4
2019-01-01,3.3
2019-04-01,3.3
2019-07-01,3.2
2019-10-01,3.1
2020-01-01,3.3
2020-10-01,3.7
2021-01-01,3.8
2021-04-01,4.3
2021-07-01,5.3
2021-10-01,5.5
2022-01-01,5.5
2022-04-01,5.6
2022-07-01,5.4
2022-10-01,4.9
2023-01-01,4.6
2023-04-01,4.3
2023-07-01,4.0
2023-10-01,3.8
2024-01-01,3.6
2024-04-01,3.2
2024-07-01,3.1
2024-10-01,3.0
2025-01-01,2.9
2025-04-01,2.8
2025-07-01,2.8
2025-10-01,2.8
