date,value
1946-01-01,
1946-04-01,
1946-07-01,
1946-10-01,
1947-01-01,
1947-04-01,
1947-07-01,
1947-10-01,
1948-01-01,
1948-04-01,
1948-07-01,
1948-10-01,
1949-01-01,
1949-04-01,
1949-07-01,
1949-10-01,
1950-01-01,
1950-04-01,
1950-07-01,
1950-10-01,
1951-01-01,
1951-04-01,
1951-07-01,
1951-10-01,
1952-01-01,
1952-04-01,
1952-07-01,
1952-10-01,
1953-01-01,
1953-04-01,
1953-07-01,
1953-10-01,
1954-01-01,
1954-04-01,
1954-07-01,
1954-10-01,
1955-01-01,
1955-04-01,
1955-07-01,
1955-10-01,
1956-01-01,
1956-04-01,
1956-07-01,
1956-10-01,
1957-01-01,
1957-04-01,
1957-07-01,
1957-10-01,
1958-01-01,
1958-04-01,
1958-07-01,
1958-10-01,
1959-01-01,
1959-04-01,
1959-07-01,
1959-10-01,
1960-01-01,
1960-04-01,
1960-07-01,
1960-10-01,
1961-01-01,
1961-04-01,
1961-07-01,
1961-10-01,
1962-01-01,
1962-04-01,
1962-07-01,
1962-10-01,
1963-01-01,
1963-04-01,
1963-07-01,
1963-10-01,
1964-01-01,
1964-04-01,
1964-07-01,
1964-10-01,
1965-01-01,
1965-04-01,
1965-07-01,
1965-10-01,
1966-01-01,
1966-04-01,
1966-07-01,
1966-10-01,
1967-01-01,
1967-04-01,
1967-07-01,
1967-10-01,
1968-01-01,
1968-04-01,
1968-07-01,
1968-10-01,
1969-01-01,
1969-04-01,
1969-07-01,
1969-10-01,
1970-01-01,
1970-04-01,
1970-07-01,
1970-10-01,
1971-01-01,
1971-04-01,
1971-07-01,7948.0
1971-10-01,6703.0
1972-01-01,5749.0
1972-04-01,6177.0
1972-07-01,8162.0
1972-10-01,6087.0
1973-01-01,5685.0
1973-04-01,7799.0
1973-07-01,14837.0
1973-10-01,12393.0
1974-01-01,9249.0
1974-04-01,10275.0
1974-07-01,11548.0
1974-10-01,10948.0
1975-01-01,9426.0
1975-04-01,8580.0
1975-07-01,8720.0
1975-10-01,7554.0
1976-01-01,6510.0
1976-04-01,7531.0
1976-07-01,8050.0
1976-10-01,6201.0
1977-01-01,4634.0
1977-04-01,6172.0
1977-07-01,10339.0
1977-10-01,7961.0
1978-01-01,5948.0
1978-04-01,7189.0
1978-07-01,10482.0
1978-10-01,8073.0
1979-01-01,6030.0
1979-04-01,6272.0
1979-07-01,7428.0
1979-10-01,4762.0
1980-01-01,3886.0
1980-04-01,4445.0
1980-07-01,5348.0
1980-10-01,3944.0
1981-01-01,3249.0
1981-04-01,5278.0
1981-07-01,9494.0
1981-10-01,6583.0
1982-01-01,6095.0
1982-04-01,6938.0
1982-07-01,10884.0
1982-10-01,7137.0
1983-01-01,5626.0
1983-04-01,7474.0
1983-07-01,11605.0
1983-10-01,7098.0
1984-01-01,5994.0
1984-04-01,7053.0
1984-07-01,9565.0
1984-10-01,6452.0
1985-01-01,5719.0
1985-04-01,6398.0
1985-07-01,9161.0
1985-10-01,5586.0
1986-01-01,4425.0
1986-04-01,5622.0
1986-07-01,12248.0
1986-10-01,7937.0
1987-01-01,5833.0
1987-04-01,4988.0
1987-07-01,11414.0
1987-10-01,6630.0
1988-01-01,4696.0
1988-04-01,3945.0
1988-07-01,9626.0
1988-10-01,6267.0
1989-01-01,4683.0
1989-04-01,5732.0
1989-07-01,10040.0
1989-10-01,6251.0
1990-01-01,4663.0
1990-04-01,4880.0
1990-07-01,9334.0
1990-10-01,6134.0
1991-01-01,6239.0
1991-04-01,6777.0
1991-07-01,18710.0
1991-10-01,11670.0
1992-01-01,9552.0
1992-04-01,9543.0
1992-07-01,18094.0
1992-10-01,11532.0
1993-01-01,9402.0
1993-04-01,9430.0
1993-07-01,18480.0
1993-10-01,13345.0
1994-01-01,9378.0
1994-04-01,11641.0
1994-07-01,21071.0
1994-10-01,13592.0
1995-01-01,8279.0
1995-04-01,10484.0
1995-07-01,19964.0
1995-10-01,12525.0
1996-01-01,8006.0
1996-04-01,8611.0
1996-07-01,18474.0
1996-10-01,14750.0
1997-01-01,11770.0
1997-04-01,14429.0
1997-07-01,21788.0
1997-10-01,14816.0
1998-01-01,10731.0
1998-04-01,11373.0
1998-07-01,21986.0
1998-10-01,13752.0
1999-01-01,9421.0
1999-04-01,10925.0
1999-07-01,20273.0
1999-10-01,13768.0
2000-01-01,10376.0
2000-04-01,11556.0
2000-07-01,21078.0
2000-10-01,14099.0
2001-01-01,10101.0
2001-04-01,10141.0
2001-07-01,23655.0
2001-10-01,15494.0
2002-01-01,7400.0
2002-04-01,5431.0
2002-07-01,18739.0
2002-10-01,14112.0
2003-01-01,10680.0
2003-04-01,8661.0
2003-07-01,15860.0
2003-10-01,14675.0
2004-01-01,13229.0
2004-04-01,11539.0
2004-07-01,15918.0
2004-10-01,14399.0
2005-01-01,12574.0
2005-04-01,10681.0
2005-07-01,14820.0
2005-10-01,14361.0
2006-01-01,13834.0
2006-04-01,11244.0
2006-07-01,8687.0
2006-10-01,14125.0
2007-01-01,12340.0
2007-04-01,10648.0
2007-07-01,15147.0
2007-10-01,13320.0
2008-01-01,12425.0
2008-04-01,10215.0
2008-07-01,16044.0
2008-10-01,13994.0
2009-01-01,10769.0
2009-04-01,7184.0
2009-07-01,11363.0
2009-10-01,11815.0
2010-01-01,10874.0
2010-04-01,8022.0
2010-07-01,11398.0
2010-10-01,11893.0
2011-01-01,12114.0
2011-04-01,7457.0
2011-07-01,16013.0
2011-10-01,15348.0
2012-01-01,14350.0
2012-04-01,9175.0
2012-07-01,12985.0
2012-10-01,13916.0
2013-01-01,15063.0
2013-04-01,9838.0
2013-07-01,11396.0
2013-10-01,15153.0
2014-01-01,15698.0
2014-04-01,11254.0
2014-07-01,13862.0
2014-10-01,14142.0
2015-01-01,15927.0
2015-04-01,10113.0
2015-07-01,14644.0
2015-10-01,15882.0
2016-01-01,15462.0
2016-04-01,8909.0
2016-07-01,16648.0
2016-10-01,15753.0
2017-01-01,15964.0
2017-04-01,8115.0
2017-07-01,8878.0
2017-10-01,10875.0
2018-01-01,13487.0
2018-04-01,6625.0
2018-07-01,7025.0
2018-10-01,10778.0
2019-01-01,11957.0
2019-04-01,5206.0
2019-07-01,9073.0
2019-10-01,9555.0
2020-01-01,10408.0
2020-04-01,2633.0
2020-07-01,-78.0
2020-10-01,6272.0
2021-01-01,10498.0
2021-04-01,9034.0
2021-07-01,7898.0
2021-10-01,11731.0
2022-01-01,16312.0
2022-04-01,11312.0
2022-07-01,16623.0
2022-10-01,14323.0
2023-01-01,18928.0
2023-04-01,11835.0
2023-07-01,19286.0
2023-10-01,14031.0
2024-01-01,19368.0
2024-04-01,10767.0
2024-07-01,19869.0
2024-10-01,14448.0
2025-01-01,19961.0
2025-04-01,11094.0
2025-07-01,20056.0
2025-10-01,14595.0
