date,value
2018-01-01,5197819.0
2018-02-01,5337931.0
2018-03-01,5491174.0
2018-04-01,5306333.0
2018-05-01,5451049.0
2018-06-01,5398763.0
2018-07-01,5297862.0
2018-08-01,4697035.0
2018-09-01,5005822.0
2018-10-01,5248303.0
2018-11-01,5182842.0
2018-12-01,5228444.0
2019-01-01,5166874.0
2019-02-01,4910689.0
2019-03-01,4864327.0
2019-04-01,5647248.0
2019-05-01,5193672.0
2019-06-01,4957868.0
2019-07-01,5259854.0
2019-08-01,5865959.0
2019-09-01,5241431.0
2019-10-01,5138074.0
2019-11-01,4707830.0
2019-12-01,5158804.0
2020-01-01,5625718.0
2020-02-01,5473206.0
2020-03-01,4435679.0
2020-04-01,3891307.0
2020-05-01,5255833.0
2020-06-01,5350214.0
2020-07-01,5397541.0
2020-08-01,5876074.0
2020-09-01,6341355.0
2020-10-01,6506784.0
2020-11-01,6498347.0
2020-12-01,6519673.0
2021-01-01,7612573.0
2021-02-01,6943987.0
2021-03-01,8028128.0
2021-04-01,7799238.0
2021-05-01,6714677.0
2021-06-01,6822581.0
2021-07-01,7044094.0
2021-08-01,6325388.0
2021-09-01,7026481.0
2021-10-01,7471175.0
2021-11-01,7770935.0
2021-12-01,7836259.0
2022-01-01,7262160.0
2022-02-01,7678544.0
2022-03-01,7976073.0
2022-04-01,7913671.0
2022-05-01,7960101.0
2022-06-01,8139287.0
2022-07-01,7455413.0
2022-08-01,8234349.0
2022-09-01,6672479.0
2022-10-01,6223069.0
2022-11-01,7134360.0
2022-12-01,6981306.0
2023-01-01,6370339.0
2023-02-01,6703358.0
2023-03-01,6833702.0
2023-04-01,6021763.0
2023-05-01,6908248.0
2023-06-01,7746160.0
2023-07-01,7096604.0
2023-08-01,6877766.0
2023-09-01,7591296.0
2023-10-01,7150123.0
2023-11-01,7390965.0
2023-12-01,5871680.0
2024-01-01,6511626.0
2024-02-01,7162629.0
2024-03-01,6659416.0
2024-04-01,8665196.0
2024-05-01,7579193.0
2024-06-01,6820958.0
2024-07-01,7590323.0
2024-08-01,7348765.0
2024-09-01,7906608.0
2024-10-01,7901030.0
2024-11-01,7494899.0
2024-12-01,9084532.0
2025-01-01,8794223.0
2025-02-01,8368483.0
2025-03-01,8369378.0
2025-04-01,7265724.0
2025-05-01,7340730.0
2025-06-01,6998730.0
2025-07-01,7186593.0
2025-08-01,7010299.0
2025-09-01,7441469.0
2025-10-01,8519503.0
2025-11-01,7466031.0
2025-12-01,7887868.0
2026-01-01,7996431.0
2026-02-01,8132058.0
