date,value
1997-01-01,3434.6
1997-02-01,3127.1
1997-03-01,2613.7
1997-04-01,2557.6
1997-05-01,2857.0
1997-06-01,2046.5
1997-07-01,2394.9
1997-08-01,2031.8
1997-09-01,2371.3
1997-10-01,2009.2
1997-11-01,2460.6
1997-12-01,2827.2
1998-01-01,2019.7
1998-02-01,2407.7
1998-03-01,2553.8
1998-04-01,2843.5
1998-05-01,2657.5
1998-06-01,2584.9
1998-07-01,3221.7
1998-08-01,3514.7
1998-09-01,3527.6
1998-10-01,3281.1
1998-11-01,3379.4
1998-12-01,3372.8
1999-01-01,4095.6
1999-02-01,4082.6
1999-03-01,4412.4
1999-04-01,4524.1
1999-05-01,4183.6
1999-06-01,4898.8
1999-07-01,5317.1
1999-08-01,6149.0
1999-09-01,5053.2
1999-10-01,5208.8
1999-11-01,5793.0
1999-12-01,5487.7
2000-01-01,6499.4
2000-02-01,5766.4
2000-03-01,6781.7
2000-04-01,6524.3
2000-05-01,7527.1
2000-06-01,8537.6
2000-07-01,7689.0
2000-08-01,7704.8
2000-09-01,8041.8
2000-10-01,8562.7
2000-11-01,8842.3
2000-12-01,9523.6
2001-01-01,11229.8
2001-02-01,9121.0
2001-03-01,8643.0
2001-04-01,8681.6
2001-05-01,8554.9
2001-06-01,7571.2
2001-07-01,7574.8
2001-08-01,7622.8
2001-09-01,7480.9
2001-10-01,6353.4
2001-11-01,7503.6
2001-12-01,6964.3
2002-01-01,7876.7
2002-02-01,7748.4
2002-03-01,7008.2
2002-04-01,8256.6
2002-05-01,8060.9
2002-06-01,6033.5
2002-07-01,7797.9
2002-08-01,7336.4
2002-09-01,8033.8
2002-10-01,8261.6
2002-11-01,7389.4
2002-12-01,7460.6
2003-01-01,7551.6
2003-02-01,8158.3
2003-03-01,8753.7
2003-04-01,6949.0
2003-05-01,6294.0
2003-06-01,6613.6
2003-07-01,7636.4
2003-08-01,7185.2
2003-09-01,7672.3
2003-10-01,7115.1
2003-11-01,6910.0
2003-12-01,7273.3
2004-01-01,7071.0
2004-02-01,7960.0
2004-03-01,7765.0
2004-04-01,8735.4
2004-05-01,8443.3
2004-06-01,10118.9
2004-07-01,8833.6
2004-08-01,9054.7
2004-09-01,7761.5
2004-10-01,8216.0
2004-11-01,8366.8
2004-12-01,7560.3
2005-01-01,7239.7
2005-02-01,8365.8
2005-03-01,8084.9
2005-04-01,8205.3
2005-05-01,8000.4
2005-06-01,7653.3
2005-07-01,8654.6
2005-08-01,9046.4
2005-09-01,10352.8
2005-10-01,11685.6
2005-11-01,10534.0
2005-12-01,10617.7
2006-01-01,9987.4
2006-02-01,8402.9
2006-03-01,7831.0
2006-04-01,8674.9
2006-05-01,8097.5
2006-06-01,7844.8
2006-07-01,7846.3
2006-08-01,7790.9
2006-09-01,7207.6
2006-10-01,6291.9
2006-11-01,7061.5
2006-12-01,8445.4
2007-01-01,7742.6
2007-02-01,7815.7
2007-03-01,8245.6
2007-04-01,8167.8
2007-05-01,7617.4
2007-06-01,6597.5
2007-07-01,6252.0
2007-08-01,6921.1
2007-09-01,6473.6
2007-10-01,6248.5
2007-11-01,6734.4
2007-12-01,6213.8
2008-01-01,6105.3
2008-02-01,7634.1
2008-03-01,8713.3
2008-04-01,8545.7
2008-05-01,8460.7
2008-06-01,9619.9
2008-07-01,9412.3
2008-08-01,8687.3
2008-09-01,7610.7
2008-10-01,6199.7
2008-11-01,4411.2
2008-12-01,2585.0
2009-01-01,2381.5
2009-02-01,3219.7
2009-03-01,3395.5
2009-04-01,2516.0
2009-05-01,1651.4
2009-06-01,3257.2
2009-07-01,2469.9
2009-08-01,2617.1
2009-09-01,2250.9
2009-10-01,3633.0
2009-11-01,3170.9
2009-12-01,3903.6
2010-01-01,3835.9
2010-02-01,3413.1
2010-03-01,3362.0
2010-04-01,3270.0
2010-05-01,3112.4
2010-06-01,2885.9
2010-07-01,2230.3
2010-08-01,2924.4
2010-09-01,1611.9
2010-10-01,2150.2
2010-11-01,2950.9
2010-12-01,3928.2
2011-01-01,4164.1
2011-02-01,4188.4
2011-03-01,3805.3
2011-04-01,4309.7
2011-05-01,3746.4
2011-06-01,3768.3
2011-07-01,3960.4
2011-08-01,3046.3
2011-09-01,3923.5
2011-10-01,3691.7
2011-11-01,4719.8
2011-12-01,5160.3
2012-01-01,4390.4
2012-02-01,4543.3
2012-03-01,3675.9
2012-04-01,3351.8
2012-05-01,2845.3
2012-06-01,2101.8
2012-07-01,2089.4
2012-08-01,3640.3
2012-09-01,3187.2
2012-10-01,3107.1
2012-11-01,4267.7
2012-12-01,4029.5
2013-01-01,3871.4
2013-02-01,3945.2
2013-03-01,3545.4
2013-04-01,4391.1
2013-05-01,3252.1
2013-06-01,3735.4
2013-07-01,3140.1
2013-08-01,4526.9
2013-09-01,4543.6
2013-10-01,3575.0
2013-11-01,2556.1
2013-12-01,3730.4
2014-01-01,3900.4
2014-02-01,4739.5
2014-03-01,5261.8
2014-04-01,4845.3
2014-05-01,5155.5
2014-06-01,4513.4
2014-07-01,4653.4
2014-08-01,4681.8
2014-09-01,4037.9
2014-10-01,3401.4
2014-11-01,3174.8
2014-12-01,2600.5
2015-01-01,2134.0
2015-02-01,2629.7
2015-03-01,2171.3
2015-04-01,2776.5
2015-05-01,2415.9
2015-06-01,4517.8
2015-07-01,4089.9
2015-08-01,3865.9
2015-09-01,3077.3
2015-10-01,1831.5
2015-11-01,1889.1
2015-12-01,2341.9
2016-01-01,3396.9
2016-02-01,2017.8
2016-03-01,1829.4
2016-04-01,1483.4
2016-05-01,2160.6
2016-06-01,1324.4
2016-07-01,3443.2
2016-08-01,2951.3
2016-09-01,2811.4
2016-10-01,3065.1
2016-11-01,4765.3
2016-12-01,3818.7
2017-01-01,4323.0
2017-02-01,4707.0
2017-03-01,3248.3
2017-04-01,4579.1
2017-05-01,3227.2
2017-06-01,1742.5
2017-07-01,2833.1
2017-08-01,2733.6
2017-09-01,2177.7
2017-10-01,3317.6
2017-11-01,3332.4
2017-12-01,3115.3
2018-01-01,3427.4
2018-02-01,3231.3
2018-03-01,2318.2
2018-04-01,4257.8
2018-05-01,3658.2
2018-06-01,4737.7
2018-07-01,5672.1
2018-08-01,5260.6
2018-09-01,4563.1
2018-10-01,3887.4
2018-11-01,1105.9
2018-12-01,616.3
2019-01-01,2240.5
2019-02-01,3702.8
2019-03-01,4667.4
2019-04-01,4799.6
2019-05-01,5194.3
2019-06-01,4768.0
2019-07-01,4439.9
2019-08-01,4623.4
2019-09-01,4739.8
2019-10-01,4747.3
2019-11-01,4229.6
2019-12-01,5290.4
2020-01-01,2726.1
2020-02-01,2597.7
2020-03-01,818.3
2020-04-01,296.4
2020-05-01,1244.6
2020-06-01,2195.8
2020-07-01,1842.8
2020-08-01,2832.9
2020-09-01,1776.6
2020-10-01,2841.8
2020-11-01,2720.0
2020-12-01,2600.7
2021-01-01,5749.3
2021-02-01,6807.2
2021-03-01,4025.0
2021-04-01,5563.4
2021-05-01,5551.5
2021-06-01,7015.0
2021-07-01,6318.9
2021-08-01,7747.4
2021-09-01,8021.5
2021-10-01,7961.3
2021-11-01,9923.7
2021-12-01,7547.3
2022-01-01,9640.1
2022-02-01,10511.8
2022-03-01,12522.3
2022-04-01,12071.7
2022-05-01,13162.3
2022-06-01,11726.3
2022-07-01,9789.4
2022-08-01,8419.6
2022-09-01,8482.4
2022-10-01,7330.1
2022-11-01,6837.9
2022-12-01,7601.3
2023-01-01,8274.6
2023-02-01,8116.6
2023-03-01,8310.9
2023-04-01,9767.5
2023-05-01,8108.6
2023-06-01,6270.8
2023-07-01,8004.2
2023-08-01,10530.3
2023-09-01,10835.5
2023-10-01,11331.0
2023-11-01,10718.8
2023-12-01,7348.5
2024-01-01,7349.0
2024-02-01,8493.0
2024-03-01,7899.3
2024-04-01,7934.1
2024-05-01,8781.4
2024-06-01,8048.7
2024-07-01,10278.2
2024-08-01,7535.3
2024-09-01,7889.2
2024-10-01,6744.9
2024-11-01,8364.1
2024-12-01,11944.5
2025-01-01,14435.2
2025-02-01,11449.9
2025-03-01,6435.2
2025-04-01,2913.3
2025-05-01,3341.4
2025-06-01,4061.5
2025-07-01,6965.0
2025-08-01,5994.5
2025-09-01,8517.6
2025-10-01,4784.0
2025-11-01,6565.1
2025-12-01,5938.9
2026-01-01,5799.5
2026-02-01,2858.0
2026-03-01,7071.2
