date,value
1997-01-01,14352.7
1997-02-01,14445.3
1997-03-01,14676.4
1997-04-01,14857.1
1997-05-01,15123.4
1997-06-01,15508.0
1997-07-01,15561.8
1997-08-01,15534.7
1997-09-01,15798.9
1997-10-01,15951.4
1997-11-01,15971.7
1997-12-01,16632.3
1998-01-01,16511.8
1998-02-01,16710.6
1998-03-01,16359.6
1998-04-01,16648.0
1998-05-01,16782.9
1998-06-01,16376.0
1998-07-01,15668.7
1998-08-01,16883.4
1998-09-01,17341.8
1998-10-01,18117.1
1998-11-01,18039.2
1998-12-01,18138.9
1999-01-01,17810.4
1999-02-01,17606.9
1999-03-01,17574.6
1999-04-01,17672.6
1999-05-01,17564.8
1999-06-01,17528.2
1999-07-01,17891.2
1999-08-01,18101.5
1999-09-01,18128.8
1999-10-01,18264.9
1999-11-01,18535.3
1999-12-01,18895.5
2000-01-01,18972.5
2000-02-01,18838.7
2000-03-01,19055.4
2000-04-01,18871.0
2000-05-01,19341.4
2000-06-01,19513.5
2000-07-01,19012.5
2000-08-01,19109.1
2000-09-01,19108.8
2000-10-01,19342.8
2000-11-01,19221.7
2000-12-01,19272.7
2001-01-01,18872.6
2001-02-01,18039.0
2001-03-01,18584.6
2001-04-01,18906.8
2001-05-01,18605.5
2001-06-01,19148.1
2001-07-01,18531.9
2001-08-01,17868.1
2001-09-01,17323.1
2001-10-01,17543.2
2001-11-01,17553.3
2001-12-01,17314.0
2002-01-01,17681.1
2002-02-01,17728.0
2002-03-01,18153.3
2002-04-01,17797.2
2002-05-01,17900.2
2002-06-01,18329.5
2002-07-01,18332.5
2002-08-01,18958.8
2002-09-01,18364.1
2002-10-01,18556.2
2002-11-01,18668.4
2002-12-01,18028.3
2003-01-01,18253.3
2003-02-01,18159.9
2003-03-01,17631.1
2003-04-01,17464.1
2003-05-01,17358.3
2003-06-01,16699.4
2003-07-01,16430.9
2003-08-01,15634.6
2003-09-01,16845.5
2003-10-01,16265.0
2003-11-01,16420.7
2003-12-01,16659.0
2004-01-01,16022.2
2004-02-01,16809.0
2004-03-01,17164.4
2004-04-01,17453.6
2004-05-01,18198.3
2004-06-01,17665.1
2004-07-01,18196.6
2004-08-01,17772.2
2004-09-01,17880.1
