date,value
1981-01-01,42.342
1981-04-01,43.56
1981-07-01,45.038
1981-10-01,46.591
1982-01-01,47.991
1982-04-01,48.78
1982-07-01,48.476
1982-10-01,49.372
1983-01-01,48.963
1983-04-01,49.078
1983-07-01,49.671
1983-10-01,49.567
1984-01-01,49.158
1984-04-01,49.249
1984-07-01,50.261
1984-10-01,50.487
1985-01-01,50.647
1985-04-01,51.657
1985-07-01,51.985
1985-10-01,51.884
1986-01-01,52.804
1986-04-01,53.064
1986-07-01,53.556
1986-10-01,55.481
1987-01-01,55.346
1987-04-01,55.91
1987-07-01,56.136
1987-10-01,56.935
1988-01-01,57.737
1988-04-01,58.618
1988-07-01,59.813
1988-10-01,60.782
1989-01-01,61.24
1989-04-01,61.93
1989-07-01,62.769
1989-10-01,63.86
1990-01-01,64.143
1990-04-01,65.115
1990-07-01,66.198
1990-10-01,67.479
1991-01-01,69.106
1991-04-01,69.189
1991-07-01,69.884
1991-10-01,69.993
1992-01-01,70.05
1992-04-01,70.493
1992-07-01,70.101
1992-10-01,70.092
1993-01-01,70.355
1993-04-01,69.551
1993-07-01,68.957
1993-10-01,68.939
1994-01-01,68.133
1994-04-01,68.237
1994-07-01,68.164
1994-10-01,68.209
1995-01-01,67.909
1995-04-01,68.367
1995-07-01,69.344
1995-10-01,69.45
1996-01-01,70.078
1996-04-01,70.113
1996-07-01,70.489
1996-10-01,71.137
1997-01-01,70.803
1997-04-01,71.565
1997-07-01,72.218
1997-10-01,71.89
1998-01-01,71.763
1998-04-01,72.888
1998-07-01,72.954
1998-10-01,73.182
1999-01-01,71.72
1999-04-01,72.429
1999-07-01,72.377
1999-10-01,72.623
2000-01-01,73.058
2000-04-01,73.48
2000-07-01,74.127
2000-10-01,75.228
2001-01-01,75.025
2001-04-01,75.313
2001-07-01,75.699
2001-10-01,75.282
2002-01-01,74.798
2002-04-01,75.206
2002-07-01,75.262
2002-10-01,75.99
2003-01-01,76.202
2003-04-01,76.672
2003-07-01,76.721
2003-10-01,77.408
2004-01-01,78.31
2004-04-01,78.789
2004-07-01,78.958
2004-10-01,78.953
2005-01-01,79.636
2005-04-01,80.321
2005-07-01,80.896
2005-10-01,81.474
2006-01-01,81.812
2006-04-01,82.989
2006-07-01,83.984
2006-10-01,85.063
2007-01-01,86.07
2007-04-01,86.538
2007-07-01,87.369
2007-10-01,88.344
2008-01-01,89.855
2008-04-01,90.589
2008-07-01,90.056
2008-10-01,91.127
2009-01-01,92.086
2009-04-01,92.215
2009-07-01,91.629
2009-10-01,90.989
2010-01-01,90.669
2010-04-01,91.316
2010-07-01,91.957
2010-10-01,92.225
2011-01-01,93.372
2011-04-01,93.834
2011-07-01,92.71
2011-10-01,93.243
2012-01-01,94.467
2012-04-01,95.786
2012-07-01,97.102
2012-10-01,97.752
2013-01-01,97.307
2013-04-01,97.486
2013-07-01,97.485
2013-10-01,97.446
2014-01-01,97.919
2014-04-01,98.1
2014-07-01,98.25
2014-10-01,97.989
2015-01-01,100.089
2015-04-01,101.139
2015-07-01,100.884
2015-10-01,101.006
2016-01-01,98.988
2016-04-01,99.963
2016-07-01,98.816
2016-10-01,99.018
2017-01-01,98.686
2017-04-01,98.33
2017-07-01,100.808
2017-10-01,102.157
2018-01-01,102.625
2018-04-01,102.056
2018-07-01,102.486
2018-10-01,103.678
2019-01-01,104.387
2019-04-01,104.471
2019-07-01,105.511
2019-10-01,106.388
2020-01-01,106.558
2020-04-01,110.299
2020-07-01,108.779
2020-10-01,110.015
2021-01-01,110.033
2021-04-01,113.046
2021-07-01,114.519
2021-10-01,114.896
2022-01-01,116.469
2022-04-01,117.653
2022-07-01,118.276
2022-10-01,120.986
2023-01-01,122.766
2023-04-01,125.733
2023-07-01,127.39
2023-10-01,127.801
2024-01-01,128.807
2024-04-01,129.047
2024-07-01,129.17
2024-10-01,129.692
2025-01-01,129.876
2025-04-01,130.492
2025-07-01,130.835
2025-10-01,131.709
